X,Y,Z
135,-261,175
132,-262,176
130,-262,176
132,-262,176
135,-261,176
132,-261,174
133,-261,175
134,-262,175
132,-261,175
135,-262,177
129,-262,174
132,-261,175
134,-262,176
132,-263,176
131,-261,176
133,-261,176
134,-261,175
135,-261,175
135,-261,176
133,-261,177
131,-263,175
130,-263,177
130,-262,179
132,-261,176
132,-261,176
132,-261,176
135,-261,176
133,-261,178
131,-261,176
135,-261,177
135,-261,175
132,-261,178
131,-262,178
132,-261,176
132,-261,177
130,-261,175
131,-262,174
135,-263,176
132,-262,176
131,-261,176
130,-261,178
133,-261,176
132,-262,177
133,-261,177
131,-261,176
131,-262,176
135,-261,175
133,-260,176
133,-262,177
135,-261,175
134,-261,176
133,-262,176
133,-260,176
135,-262,176
135,-260,176
132,-260,176
132,-262,175
135,-261,176
134,-261,176
135,-263,176
133,-261,178
132,-261,177
133,-261,175
134,-263,175
133,-261,175
133,-261,177
134,-261,176
129,-260,176
135,-261,176
132,-260,177
133,-261,176
134,-261,176
133,-262,176
130,-261,177
132,-261,175
115,-260,167
112,-244,121
102,-211,86
87,-180,66
85,-150,55
87,-131,42
89,-122,33
73,-115,27
53,-109,22
37,-105,19
15,-100,15
-14,-92,14
-36,-85,16
-52,-78,18
-69,-60,20
-85,-40,24
-95,-19,25
-98,-6,29
-98,7,36
-98,15,35
-103,29,31
-102,45,29
-100,56,23
-101,55,26
-99,54,26
-100,15,30
-82,-35,28
-68,-53,20
-52,-71,18
-22,-90,10
6,-100,9
44,-104,7
76,-98,8
113,-82,10
139,-56,14
158,-28,13
166,1,14
166,31,15
163,59,20
150,80,24
139,96,27
138,98,29
148,83,29
162,50,23
169,8,17
154,-32,14
129,-65,12
103,-81,15
90,-89,21
68,-95,23
36,-99,21
-1,-96,18
-38,-79,13
-63,-62,13
-79,-39,14
-92,-15,15
-101,10,22
-100,32,24
-98,50,29
-92,64,28
-91,78,26
-91,76,29
-101,54,27
-100,20,22
-92,-15,18
-73,-49,16
-57,-69,16
-33,-86,14
2,-102,15
35,-105,23
67,-100,26
94,-89,25
123,-73,25
150,-45,19
164,-15,18
170,11,24
167,41,28
158,72,29
148,86,28
150,90,26
158,78,26
169,49,25
169,16,26
162,-14,27
145,-46,26
124,-66,29
108,-76,29
92,-88,31
73,-92,34
57,-96,30
44,-99,30
30,-99,28
17,-99,29
1,-96,26
-7,-95,22
-17,-92,25
-27,-88,25
-36,-83,25
-46,-77,22
-62,-67,22
-74,-52,21
-87,-38,20
-96,-22,20
-100,-3,20
-103,9,18
-106,20,13
-106,19,18
-106,12,17
-105,1,16
-99,-17,18
-91,-32,16
-86,-46,14
-73,-60,15
-61,-74,15
-45,-86,19
-15,-98,23
22,-108,30
42,-107,34
59,-107,39
78,-102,40
93,-95,42
113,-83,47
129,-72,43
140,-55,37
158,-39,33
166,-17,29
177,11,30
176,33,34
173,32,35
176,5,30
166,-26,25
156,-44,25
137,-66,21
123,-83,21
103,-94,21
88,-103,22
64,-107,20
43,-107,19
29,-107,21
16,-106,20
-4,-104,19
-21,-97,18
-48,-86,19
-68,-71,26
-78,-53,35
-85,-41,35
-90,-30,33
-98,-16,29
-106,-2,33
-104,6,35
-105,10,39
-105,17,38
-103,23,40
-101,28,40
-106,33,40
-103,37,37
-106,43,35
-103,48,35
-102,51,35
-103,52,36
-101,58,36
-102,58,33
-105,54,30
-108,42,28
-109,30,25
-110,14,22
-106,-2,16
-100,-25,13
-89,-49,8
-72,-70,4
-63,-80,2
-52,-91,5
-42,-99,2
-20,-109,-4
-6,-115,-8
1,-118,-11
12,-118,-5
24,-119,-5
34,-118,-7
41,-118,-11
58,-118,-8
71,-111,-10
94,-101,-15
110,-90,-19
121,-84,-18
123,-80,-13
126,-75,-9
122,-80,-3
122,-75,3
126,-71,6
129,-65,6
136,-58,8
142,-45,11
146,-29,15
151,-13,18
150,-4,19
147,10,22
144,25,32
140,33,43
134,41,46
129,51,47
124,59,50
120,71,55
98,91,61
95,99,59
95,101,57
93,105,55
65,118,61
42,131,58
29,136,57
14,135,57
-5,135,50
-14,133,45
-31,128,40
-44,117,41
-55,108,43
-60,105,37
-68,99,33
-76,91,25
-78,88,24
-88,71,28
-93,65,29
-99,55,20
-102,32,7
-106,7,1
-95,-25,6
-89,-39,11
-81,-49,8
-70,-62,6
-53,-77,8
-32,-91,6
-9,-99,9
15,-104,9
36,-107,10
58,-106,18
81,-99,19
96,-92,8
116,-78,-8
124,-70,-8
132,-61,-11
136,-53,-13
142,-45,-16
154,-28,-18
159,-9,-19
167,5,-25
167,25,-28
170,48,-24
164,63,-20
164,76,-18
153,93,-12
142,106,-11
125,126,-7
103,141,-3
80,153,3
61,159,8
38,162,11
9,159,14
-17,152,12
-39,143,14
-48,133,30
-61,125,40
-72,117,39
-82,107,22
-93,90,10
-102,73,13
-108,60,11
-108,56,6
-110,49,-1
-110,42,-10
-112,28,-9
-112,12,-13
-104,-15,-10
-95,-41,-8
-82,-61,-7
-62,-82,-12
-38,-98,-13
-16,-108,-10
8,-115,-11
45,-117,-5
76,-109,1
95,-102,1
127,-83,-2
134,-79,3
129,-81,6
126,-84,11
113,-92,16
99,-99,21
80,-104,24
78,-101,27
76,-103,22
75,-106,16
75,-106,17
85,-103,16
109,-92,14
127,-78,8
141,-65,1
143,-58,-1
151,-51,5
150,-45,8
156,-39,7
160,-34,-3
164,-22,-6
170,-1,-8
170,17,-13
168,50,-14
157,87,-16
138,118,-14
122,132,-8
108,141,-2
83,150,2
66,157,5
45,159,8
27,158,11
13,159,9
-15,150,20
-32,140,27
-45,128,37
-56,118,35
-74,101,36
-71,104,36
-59,122,27
-25,149,16
14,162,7
66,164,-14
101,152,-30
127,137,-40
145,110,-50
157,82,-50
160,52,-47
160,24,-48
157,1,-47
145,-15,-53
123,-46,-51
111,-62,-48
93,-78,-46
59,-94,-35
39,-98,-23
22,-99,-7
6,-99,4
-24,-92,21
-48,-70,33
-62,-46,43
-69,-15,54
-68,4,57
-70,23,62
-57,48,67
-51,65,66
-48,81,61
-46,94,56
-37,104,54
-23,114,51
5,129,51
37,135,49
59,134,46
82,127,44
101,116,43
122,101,40
141,73,34
156,40,18
160,11,11
157,-12,10
150,-35,8
139,-53,11
120,-75,23
90,-93,36
66,-105,47
46,-108,56
9,-105,72
-19,-92,77
-33,-86,73
-44,-82,64
-49,-77,56
-52,-69,51
-59,-59,47
-59,-56,45
-52,-63,43
-54,-62,44
-58,-55,40
-67,-42,33
-76,-22,29
-81,19,26
-75,49,30
-56,76,44
-42,92,49
-21,113,53
19,127,53
51,127,51
65,125,49
82,114,57
88,93,66
101,69,73
104,56,69
112,46,66
109,36,70
114,22,67
117,7,66
114,-8,64
106,-26,63
97,-44,58
85,-59,57
67,-72,47
41,-82,39
25,-85,33
3,-83,32
-20,-76,24
-43,-65,20
-55,-54,19
-62,-41,20
-71,-24,20
-78,-14,20
-80,-8,18
-82,15,17
-82,50,22
-73,72,32
-61,89,35
-41,110,35
-13,124,35
17,133,29
44,133,26
66,129,24
91,118,23
105,104,19
120,85,15
133,66,9
136,43,10
139,26,19
139,5,25
136,-15,29
125,-32,28
115,-51,21
107,-62,22
91,-74,25
72,-85,25
42,-89,27
19,-88,24
5,-84,27
-20,-75,30
-45,-64,21
-56,-53,17
-59,-46,13
-73,-34,7
-81,11,21
-79,46,31
-65,73,33
-38,107,35
33,128,30
56,125,29
77,116,27
99,105,25
96,105,22
86,108,25
85,109,28
86,110,29
89,110,32
92,107,32
80,112,30
47,126,28
15,126,25
-1,123,24
-31,111,22
-55,84,22
-67,61,24
-75,42,19
-75,24,21
-60,-30,30
-44,-49,26
-25,-63,22
-7,-73,19
13,-78,10
38,-78,3
64,-72,-2
85,-61,-12
96,-50,-17
107,-39,-24
125,-19,-24
137,31,-3
132,56,4
116,83,4
105,95,3
97,103,2
88,106,3
74,113,3
53,122,8
28,124,14
7,122,19
-15,115,19
-21,109,17
-31,103,18
-41,94,21
-53,86,22
-60,76,21
-67,65,25
-68,43,31
-73,27,32
-71,9,32
-73,-2,33
-67,-21,31
-57,-41,23
-38,-60,21
-17,-79,7
9,-89,-4
33,-91,-7
60,-88,-7
74,-85,-9
82,-84,-16
92,-76,-17
106,-64,-19
123,-34,-26
145,31,-16
135,62,-10
125,85,-9
112,100,-4
85,121,7
68,131,15
56,135,18
31,136,24
3,131,28
-5,127,30
-20,119,23
-37,106,20
-53,84,20
-65,65,15
-71,45,14
-72,19,21
-73,-6,24
-65,-23,19
-56,-43,17
-46,-53,16
-36,-66,14
-21,-72,11
-7,-76,7
7,-80,4
32,-82,-2
52,-82,-9
74,-73,-19
101,-59,-18
126,-36,-9
140,-7,6
140,18,15
142,40,18
134,54,19
126,68,24
118,82,24
107,93,26
93,104,29
74,115,35
63,119,34
49,125,34
32,130,26
7,132,10
-15,133,-3
-26,127,-4
