timestamp,eng_unit,acc_unit,simulated,tow,mag_x,mag_y,mag_z,amqp_topic
2025-11-18 21:38:11.527497,Microteslas,,false,2147483648,156,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:11.621069,Microteslas,,false,2147483648,157,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:11.689647,Microteslas,,false,2147483648,155,-332,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:11.770623,Microteslas,,false,2147483648,158,-335,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:11.851051,Microteslas,,false,2147483648,159,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:11.931576,Microteslas,,false,2147483648,159,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.018157,Microteslas,,false,2147483648,155,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.092813,Microteslas,,false,2147483648,159,-334,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.173412,Microteslas,,false,2147483648,158,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.254101,Microteslas,,false,2147483648,159,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.333881,Microteslas,,false,2147483648,157,-335,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.418876,Microteslas,,false,2147483648,157,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.495030,Microteslas,,false,2147483648,157,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.575628,Microteslas,,false,2147483648,155,-332,15,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.656356,Microteslas,,false,2147483648,156,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.741579,Microteslas,,false,2147483648,157,-336,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.821983,Microteslas,,false,2147483648,157,-335,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.899318,Microteslas,,false,2147483648,158,-335,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:12.979628,Microteslas,,false,2147483648,159,-334,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:13.059440,Microteslas,,false,2147483648,156,-332,16,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:13.140996,Microteslas,,false,2147483648,157,-334,17,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:13.221577,Microteslas,,false,2147483648,155,-333,18,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:13.302137,Microteslas,,false,2147483648,157,-335,17,NAV.nav0.MAG_CALIBRATED
